party_name,investment,levenshtein_score,jaro_winkler_score,average_score
b fernandez hermanos,brown forman,0.4,0.5851851851851851,0.4925925925925926
b j partnership,b pare rei—,0.4666666666666667,0.7855892255892256,0.6261279461279461
b witt concrete cutting,bank of america checking,0.29166666666666663,0.6832729468599034,0.487469806763285
bac home loans servicing lp,bank of america savings,0.33333333333333337,0.7904003164109953,0.5618668248721643
bagner,bank amer,0.4444444444444444,0.837037037037037,0.6407407407407407
bahia sun associates partnership,brookfield renewable partnership,0.4375,0.606359649122807,0.5219298245614035
bahnaman,bank mbna,0.4444444444444444,0.8,0.6222222222222222
bailey,baltimorecnty md,0.3125,0.788888888888889,0.5506944444444445
bails,bisys,0.4,0.76,0.5800000000000001
baker,bruker,0.6666666666666667,0.8400000000000001,0.7533333333333334
baker electronics,baker hughes,0.4117647058823529,0.8274509803921569,0.6196078431372549
bakko,blackrock,0.4444444444444444,0.7733333333333333,0.6088888888888888
balkwill,bank hawaii,0.36363636363636365,0.6931818181818182,0.5284090909090909
bally gaming,bank mbna,0.41666666666666663,0.6666666666666666,0.5416666666666666
banco bilbao vizcaya argentaria,banco bilbao vizcaya,0.6451612903225806,0.9290322580645162,0.7870967741935484
banco santander puerto rico,banco santander commom stock,0.6428571428571428,0.8865079365079365,0.7646825396825396
bank of america na,bank of america bac,0.8947368421052632,0.9678362573099415,0.9312865497076024
bankers life casualty insurance,bank of america savings,0.3548387096774194,0.8351664575182698,0.5950025835978445
bankers life insurance,bank of am,0.36363636363636365,0.8327272727272728,0.5981818181818181
banner witcoff,baxter intl,0.4285714285714286,0.7796536796536796,0.604112554112554
baptist healthcare system,blackrock health sciences fundnew,0.3939393939393939,0.6336779560308973,0.5138086749851456
barajas,bard cr,0.4285714285714286,0.6190476190476191,0.5238095238095238
baranski,brunswick,0.4444444444444444,0.775,0.6097222222222223
barclay,barclays bank vxx,0.4117647058823529,0.8823529411764706,0.6470588235294117
barker,bruker,0.6666666666666667,0.9,0.7833333333333334
barna,bank mbna y,0.36363636363636365,0.776969696969697,0.5703030303030303
barnhart,biomarin pharm,0.5,0.8125,0.65625
barreramartinez,baxter intl,0.4,0.6057720057720059,0.5028860028860029
barrywehmiller design group,broadridge finl sol,0.2962962962962963,0.6865659519168291,0.4914311241065627
barton brands,banco santander,0.4,0.8151359751359751,0.6075679875679876
barton in re barton,becton dickenson,0.42105263157894735,0.6837719298245614,0.5524122807017544
basham,bank amer,0.4444444444444444,0.762962962962963,0.6037037037037036
bastian,baxter intl,0.36363636363636365,0.7783549783549784,0.570995670995671
bateman,baxter intl,0.4545454545454546,0.7783549783549784,0.6164502164502165
battaglia,bell atlantic,0.3846153846153846,0.5982905982905983,0.49145299145299143
bauer,bruker,0.6666666666666667,0.8400000000000001,0.7533333333333334
baum hydraulics,bank hapoalim cd,0.4375,0.6777777777777777,0.5576388888888888
bavarian pretzel bakery,bar association retirement plan keough,0.368421052631579,0.6350114416475973,0.5017162471395882
bay area credit svc,b pare rei—,0.42105263157894735,0.7542264752791068,0.5876395534290271
bayer,bruker,0.5,0.7300000000000001,0.615
bayer ag,baker hughes,0.5,0.8,0.65
bayerische hypound vereinsbank,bpprcash in bank,0.3666666666666667,0.75125,0.5589583333333333
bayside restaurant,baxter intl,0.2777777777777778,0.6986531986531986,0.4882154882154882
bazile,banc one,0.375,0.625,0.5
bcs insurance,biomiralnc,0.3846153846153846,0.6316239316239316,0.5081196581196581
bear stearns,bea sys,0.5,0.85,0.675
beard,bard cr,0.4285714285714286,0.8114285714285714,0.62
becker,bruker,0.6666666666666667,0.7999999999999999,0.7333333333333334
becker poliakoff pa,brokerage il,0.3157894736842105,0.6532163742690059,0.4845029239766082
becks north america,bank of america,0.631578947368421,0.7729554655870444,0.7022672064777327
beeders,bemis,0.4285714285714286,0.6761904761904761,0.5523809523809524
belinsky,bemis,0.5,0.8133333333333332,0.6566666666666666
bellsouth telecommunications,bellsouth,0.3214285714285714,0.8642857142857142,0.5928571428571427
belour,bellsouth,0.5555555555555556,0.8574074074074074,0.7064814814814815
benavides,bea sys,0.4444444444444444,0.671957671957672,0.5582010582010581
bender,bank amer,0.4444444444444444,0.7333333333333334,0.5888888888888889
benedict,brunswick,0.4444444444444444,0.6481481481481481,0.5462962962962963
beneway,boeing ba,0.33333333333333337,0.671957671957672,0.5026455026455027
benistar admin services,ben con properties,0.3913043478260869,0.6599157686114208,0.5256100582187538
benjamin s youngblood,bea sys,0.2857142857142857,0.7714285714285715,0.5285714285714286
bennett,ben con properties,0.33333333333333337,0.8111111111111112,0.5722222222222223
bentley,bedbath beyond,0.3571428571428571,0.6904761904761904,0.5238095238095237
bentley systems,bea systems,0.6666666666666667,0.8335353535353536,0.7501010101010102
benzel,bank amer,0.33333333333333337,0.611111111111111,0.4722222222222222
berger,bruker,0.5,0.7999999999999999,0.6499999999999999
bergerson,brokerage account,0.4117647058823529,0.6614923747276689,0.5366285403050108
bergman,bemis,0.4285714285714286,0.6761904761904761,0.5523809523809524
bergstrom,brush petroleum,0.4,0.7891666666666667,0.5945833333333334
bernstein,berkshire b,0.4545454545454546,0.6818181818181818,0.5681818181818181
berry,berkshire b,0.36363636363636365,0.8048484848484848,0.5842424242424242
betancourt,bbtcopt,0.5,0.7642857142857143,0.6321428571428571
beth israel medical center,bank of america debt,0.42307692307692313,0.6271062271062271,0.5250915750915751
beydoun,bellsouth,0.4444444444444444,0.671957671957672,0.5582010582010581
bgl development,bee pc note,0.2666666666666667,0.694949494949495,0.48080808080808085
bhagwant,bank hawaii,0.36363636363636365,0.654040404040404,0.5088383838383839
bhandari constructors consultants,bank ira nonstock acct jill,0.33333333333333337,0.6489337822671156,0.4911335578002245
bianchimontana,banco santander,0.4666666666666667,0.7542857142857143,0.6104761904761905
bielser,bisys,0.4285714285714286,0.6761904761904761,0.5523809523809524
biomérieux,biomet,0.5,0.8666666666666667,0.6833333333333333
birbragher,borg warmer,0.4545454545454546,0.7580519480519481,0.6062987012987013
birdine,brinker intl,0.41666666666666663,0.6746031746031745,0.5456349206349206
black hawk,blackrock,0.6,0.8533333333333333,0.7266666666666666
blackmon,blackrock,0.6666666666666667,0.8833333333333333,0.775
blanch,blackrock,0.4444444444444444,0.7925925925925926,0.6185185185185185
bland,bpplcadr,0.375,0.7899999999999999,0.5825
blanks in re ncp marketing group,bank of america savings,0.375,0.658754262574595,0.5168771312872975
blasdel,blackstonegso,0.3846153846153846,0.6996336996336997,0.5421245421245422
bloom,broadcom,0.5,0.7899999999999999,0.645
blue crossblue shield of illinois,blue chip value fd,0.303030303030303,0.6737373737373736,0.4883838383838383
bnsf railway,bank of america y,0.3529411764705882,0.6857298474945533,0.5193355119825708
board of educ of city of chicago,bond fd of america,0.40625,0.6712962962962963,0.5387731481481481
board of education,broadridge finl solutions,0.4,0.7461666666666668,0.5730833333333334
board of education district no,boston scientific,0.33333333333333337,0.7641830065359477,0.5487581699346405
board of education of chicago district,bond fd of america,0.368421052631579,0.6600160532049077,0.5142185529182434
board of jewish education,bond fd of america,0.31999999999999995,0.76,0.54
boardof trustees of communitytechnical colleges,brokerage account see lines,0.34042553191489366,0.6354769817612863,0.48795125683809
bob smith chevrolet,bntish petroleum,0.42105263157894735,0.6948763955342904,0.5579645135566189
bobrick,brunswick,0.4444444444444444,0.780952380952381,0.6126984126984127
bobrick washroom equipment,borg warmer,0.34615384615384615,0.7771561771561771,0.5616550116550116
bonnell,boemg,0.4285714285714286,0.6761904761904761,0.5523809523809524
bonner,bank amer,0.4444444444444444,0.7333333333333334,0.5888888888888889
bonsol,bondsmutual funds,0.2941176470588235,0.79640522875817,0.5452614379084968
bonsu,bondsmutual funds,0.2941176470588235,0.8352941176470587,0.5647058823529412
bontatibus,boston celtics,0.3571428571428571,0.6857142857142856,0.5214285714285714
borders group,boemg,0.3076923076923077,0.7620512820512821,0.5348717948717949
boris,bemis,0.6,0.76,0.6799999999999999
borough of litchfield conn,brookfield ppty,0.3846153846153846,0.5975912975912975,0.49110334110334103
boston scientific,boston scientific,1.0,1.0,1.0
boule,bruker,0.5,0.7300000000000001,0.615
bovee thill,brokerage il,0.33333333333333337,0.765909090909091,0.5496212121212122
bowen,boeing,0.5,0.8577777777777779,0.6788888888888889
bowers,boemg,0.5,0.76,0.63
box usa group,bp amgco,0.3846153846153846,0.6698717948717948,0.5272435897435896
boychuk,blackrock,0.33333333333333337,0.5873015873015873,0.46031746031746035
brad k ex rel jessica k,bank of america,0.3913043478260869,0.633816425120773,0.5125603864734299
bradford,broadcom ld,0.5454545454545454,0.7676767676767677,0.6565656565656566
branch,broadcom,0.5,0.7777777777777778,0.6388888888888888
branker,bruker,0.7142857142857143,0.8793650793650793,0.7968253968253969
bratton,broadcom,0.5,0.6071428571428571,0.5535714285714286
braun,biomiralnc,0.4,0.76,0.5800000000000001
bravo fernandez,brown forman,0.4666666666666667,0.7674074074074074,0.617037037037037
bravofernandez,brokerage,0.5,0.6640211640211641,0.5820105820105821
