person_id,judge_flag,position,status,disclosures_count
730,1,2,judge with multiple positions,
731,2,7,judge with multiple positions,9.0
732,3,7,judge with multiple positions,
733,1,8,judge with multiple positions,17.0
734,3,5,judge with multiple positions,
735,1,3,judge with multiple positions,18.0
736,9,19,judge with multiple positions,16.0
737,1,7,judge with multiple positions,
738,4,10,judge with multiple positions,18.0
739,1,4,judge with multiple positions,
740,3,13,judge with multiple positions,
741,2,8,judge with multiple positions,17.0
742,1,3,judge with multiple positions,
743,2,5,judge with multiple positions,13.0
744,1,7,judge with multiple positions,
745,1,8,judge with multiple positions,
746,2,3,judge with multiple positions,13.0
747,1,4,judge with multiple positions,
748,1,2,judge with multiple positions,
749,3,5,judge with multiple positions,
750,1,3,judge with multiple positions,
751,1,3,judge with multiple positions,4.0
752,1,5,judge with multiple positions,17.0
753,1,3,judge with multiple positions,7.0
754,1,3,judge with multiple positions,
755,2,8,judge with multiple positions,
756,1,2,judge with multiple positions,17.0
757,3,7,judge with multiple positions,
758,3,6,judge with multiple positions,
759,4,9,judge with multiple positions,7.0
760,3,9,judge with multiple positions,
761,1,12,judge with multiple positions,
762,3,4,judge with multiple positions,
763,4,7,judge with multiple positions,
764,2,3,judge with multiple positions,17.0
765,2,7,judge with multiple positions,
766,1,11,judge with multiple positions,13.0
767,1,6,judge with multiple positions,16.0
768,1,3,judge with multiple positions,
769,1,12,judge with multiple positions,10.0
770,1,2,judge with multiple positions,15.0
771,1,4,judge with multiple positions,
772,3,11,judge with multiple positions,8.0
773,2,5,judge with multiple positions,
774,1,3,judge with multiple positions,3.0
775,1,8,judge with multiple positions,17.0
776,1,5,judge with multiple positions,13.0
777,1,4,judge with multiple positions,
778,3,4,judge with multiple positions,
779,3,6,judge with multiple positions,
780,3,6,judge with multiple positions,
781,1,2,judge with multiple positions,
782,4,9,judge with multiple positions,4.0
783,1,4,judge with multiple positions,10.0
784,1,2,judge with multiple positions,
785,1,8,judge with multiple positions,
786,1,5,judge with multiple positions,10.0
787,1,4,judge with multiple positions,
788,1,9,judge with multiple positions,
789,1,4,judge with multiple positions,13.0
790,1,4,judge with multiple positions,7.0
791,1,7,judge with multiple positions,
792,2,6,judge with multiple positions,
793,1,8,judge with multiple positions,15.0
794,3,11,judge with multiple positions,17.0
795,3,9,judge with multiple positions,
796,3,4,judge with multiple positions,
797,2,8,judge with multiple positions,13.0
798,1,6,judge with multiple positions,9.0
799,3,8,judge with multiple positions,2.0
800,5,16,judge with multiple positions,18.0
801,2,8,judge with multiple positions,17.0
802,1,7,judge with multiple positions,
803,1,3,judge with multiple positions,
804,1,3,judge with multiple positions,
805,2,6,judge with multiple positions,
806,2,17,judge with multiple positions,
807,3,5,judge with multiple positions,11.0
808,4,10,judge with multiple positions,13.0
809,1,2,judge with multiple positions,
810,2,7,judge with multiple positions,7.0
