person_id,judge_flag,position,status,disclosures_count,name_first,name_middle,name_last,political_affiliations,race,date_nominated,date_start,date_termination,court_short_name,court_full_name
14018,4,4,judge with multiple positions,,S.,Robert,Tice-Raskin,,w,,2015-01-05,,"California Superior Court, Nevada County","Superior Court of California, County of Nevada"
14019,1,1,judge with 1 position,,Jeffrey,Malcolm,Ferguson,,w,,2015-01-05,,"California Superior Court, Orange County","Superior Court of California, County of Orange"
14020,1,1,judge with 1 position,,Kevin,James,Haskins,,w,,2015-01-05,,"California Superior Court, Orange County","Superior Court of California, County of Orange"
14021,1,1,judge with 1 position,,Sean,,Lafferty,,w,,2015-01-05,,"California Superior Court, Riverside County","Superior Court of California, County of Riverside"
14022,1,1,judge with 1 position,,Daniel,A.,Flores,,h,,2015-01-05,,"California Superior Court, San Francisco County","Superior Court of California, County of San Francisco"
14023,1,1,judge with 1 position,,Michael,Jeffrey,Mulvihill,,w,,2015-01-05,,"California Superior Court, San Joaquin County","Superior Court of California, County of San Joaquin"
14024,1,1,judge with 1 position,,Julianne,Christina,Sylva,d,w,,2015-01-05,,"California Superior Court, Santa Clara County","Superior Court of California, County of Santa Clara"
14025,1,1,judge with 1 position,,Matthew,S.,Harris,,w,,2015-01-05,,"California Superior Court, Santa Clara County","Superior Court of California, County of Santa Clara"
14026,1,1,judge with 1 position,,Stuart,J.,Scott,,w,,2015-01-05,,"California Superior Court, Santa Clara County","Superior Court of California, County of Santa Clara"
14027,1,1,judge with 1 position,,Michael,,Lief,,w,,2015-01-05,,"California Superior Court, Ventura County","Superior Court of California, County of Ventura"
14028,0,1,non-judge,,Leondra,Reid,Kruger,d,b,,,,,
14029,1,1,judge with 1 position,,Stephanie,Elizabeth,Hulsey,,w,,2015-01-05,,"California Superior Court, Monterey County","Superior Court of California, County of Monterey"
14030,1,1,judge with 1 position,,Steven,James,Singley,r,w,,2015-01-05,,"California Superior Court, San Bernardino County","Superior Court of California, County of San Bernardino"
14031,1,1,judge with 1 position,,Charles,Sentman,Crompton,d,w,,2014-12-30,,"California Superior Court, San Francisco County","Superior Court of California, County of San Francisco"
14032,1,1,judge with 1 position,,Edward,Albert,Torpoco,d,w,,2014-12-29,,"California Superior Court, San Francisco County","Superior Court of California, County of San Francisco"
14033,2,2,judge with multiple positions,,Gustavo, E.,Lavayen,,,,2019-01-01,2020-12-31,"California Superior Court, Santa Barbara County","Superior Court of California, County of Santa Barbara"
14034,1,1,judge with 1 position,,Eric,Scott,Geffon,d,w,,2014-12-29,,"California Superior Court, Santa Clara County","Superior Court of California, County of Santa Clara"
14035,1,1,judge with 1 position,,Roberta,S.,Hayashi,d,a,,2015-01-30,,"California Superior Court, Santa Clara County","Superior Court of California, County of Santa Clara"
14036,1,1,judge with 1 position,,Cynthia,Chin Young,Lie,d,a,,2015-01-27,,"California Superior Court, Santa Clara County","Superior Court of California, County of Santa Clara"
14037,1,1,judge with 1 position,,Geoffrey,Matthew,Howard,d,w,,2015-02-23,,"California Superior Court, Marin County","Superior Court of California, County of Marin"
14038,1,1,judge with 1 position,,Marcos,R.,Camacho,d,h,,2015-04-03,,"California Superior Court, Kern County","Superior Court of California, County of Kern"
14039,1,1,judge with 1 position,,David,R.,Zulfa,d,w,,2015-01-20,,"California Superior Court, Kern County","Superior Court of California, County of Kern"
14040,1,1,judge with 1 position,,Keith,H.,Borjón,d,h,,2015-01-12,,"California Superior Court, Los Angeles County","Superior Court of California, County of Los Angeles"
14041,1,1,judge with 1 position,,Jeannie,M.,Joseph,d,w,,2015-01-14,,"California Superior Court, Orange County","Superior Court of California, County of Orange"
14042,1,1,judge with 1 position,,John,Randolph,Zitny,d,w,,2015-01-14,,"California Superior Court, Orange County","Superior Court of California, County of Orange"
14043,1,1,judge with 1 position,,Alan,K.,Cassidy,d,w,,2015-01-16,,"California Superior Court, Stanislaus County","Superior Court of California, County of Stanislaus"
14044,1,1,judge with 1 position,,Rubén,Antonio,Villalobos,d,h,,2015-01-05,,"California Superior Court, Stanislaus County","Superior Court of California, County of Stanislaus"
14045,2,2,judge with multiple positions,,Eric, L.,Heryford,,,,2018-06-18,2022-06-18,"California Superior Court, Trinity County","Superior Court of California, County of Trinity"
14046,1,1,judge with 1 position,,Andrew,Alan,Steckler,d,w,,2015-04-15,,"California Superior Court, Alameda County","Superior Court of California, County of Alameda"
14047,1,1,judge with 1 position,,George,F,Bird,d,w,,2015-04-14,,"California Superior Court, Los Angeles County","Superior Court of California, County of Los Angeles"
14048,1,2,judge with multiple positions,,Frank,John,Menetrez,d,h,,2015-04-30,2018-11-25,"California Superior Court, Los Angeles County","Superior Court of California, County of Los Angeles"
14049,1,1,judge with 1 position,,Michael,C.,Small,d,w,,2015-05-09,,"California Superior Court, Los Angeles County","Superior Court of California, County of Los Angeles"
14050,1,1,judge with 1 position,,Kevin,Pierre,Stennis,d,b,,2015-04-10,,"California Superior Court, Los Angeles County","Superior Court of California, County of Los Angeles"
14051,1,1,judge with 1 position,,Marian,Fitzgerald,Gaston,d,w,,2015-04-13,,"California Superior Court, San Diego County","Superior Court of California, County of San Diego"
14052,1,1,judge with 1 position,,Lisa,Renee,Rodriguez,d,w,,2015-04-02,,"California Superior Court, San Diego County","Superior Court of California, County of San Diego"
14053,1,1,judge with 1 position,,Ross,Charles,Moody,d,w,,2015-04-20,,"California Superior Court, San Francisco County","Superior Court of California, County of San Francisco"
14054,1,1,judge with 1 position,,Sharon,Maureen,Reardon,d,w,,2015-04-19,,"California Superior Court, San Francisco County","Superior Court of California, County of San Francisco"
14055,1,1,judge with 1 position,,Marco,Daniel,Nunez,d,h,,2017-01-09,,"California Superior Court, Imperial County","Superior Court of California, County of Imperial"
14056,1,1,judge with 1 position,,Stacy,Paige,Speiller,d,w,,2017-11-27,,"California Superior Court, Stanislaus County","Superior Court of California, County of Stanislaus"
14057,1,1,judge with 1 position,,Rachel,Elisabeth,Holt,d,w,,2020-05-04,,"California Superior Court, San Mateo County","Superior Court of California, County of San Mateo"
14058,1,1,judge with 1 position,,Lamar,W.,Baker,d,b,,2015-07-27,,"California Court of Appeals, 2nd District","California Court of Appeal, 2nd District"
14059,1,1,judge with 1 position,,Songhai,D.,Miguda-Armstead,d,b,,2015-09-18,,"California Superior Court, Los Angeles County","Superior Court of California, County of Los Angeles"
14060,1,1,judge with 1 position,,Timothy,P.,Dillon,d,w,,2015-08-31,,"California Superior Court, Los Angeles County","Superior Court of California, County of Los Angeles"
